texto_review,sentimento
OS PRODUTOS DA SAMSUNG SÃO DE EXCELENTE QUALIDADE E PRATICIDADE ME ATENDE NO QUE PRECISO.RECOMENDARIA AS PESSOAS A COMPRAR E O MELHOR O PREÇO QUE CABE NO BOLSO EM TEMPOS DE CRISE FACILITA BASTANTE.,Positivo
Comprei para meu sobrinho. Ele adorou. Ele tem 13 anos e está fazendo muitas mágicas para a vovó e o vovô!,Positivo
O produto eu até recomendo eu não recomendo a loja pois o meu caso não é o primeiro precisam avaliar melhor as transportadoras,Negativo
Atendeu minhas expectativas. Carregou duas vezes e meia antes de descarregar.,Neutro
"Bom ,comprei esse kit para as mulheres tomarem no carnaval achando que eram uns drinks prontos q iriam agrada-las mas infelizmente não tiveram aprovação. Apesar de não ser caro não compensa pelo o q oferece, pois não dá prazer nenhum em beber e foi o que aconteceu, elas não beberam e eu tive que beber as abertas sozinho na semana por causa da validade de 7dd. Tomei a de morango e jabuticaba, essa última achei bem doce.  Resumo, querem beber algo diferente essas bebidas não são uma boa opção.",Negativo
"Gostei da TV, só não gostei do controle. Tive dificuldade para abrir para colocação das pilhas. Muito compacto.",Neutro
"O tapete é bonito, porém não é tão grosso como informado no anúncio. A entrega foi super rápida. Pelo valor pago, vale apena.",Neutro
"As bonecas são perfeitas, chegaram antes do prazo.",Positivo
Muito bom o Produto e o vendedor. Certamente eu recomendo!,Neutro
"Foi um presente para outra pessoa, quando ela foi personalizar o campainha das chamadas, o aparelho não deu a opção de troca. obs: não sei se é defeito ou se não dá para mudar o toque. (configurações / som / toque do telefone / ?????.",Neutro
"Um dos piores aparelhos que ja tive,não recomendo,trava do nada,abre apps sozinho,um lixo.",Negativo
"Não tem reforço na área das orelhas, por isso, o tecido rasga facilmente. Depois de uma semana de uso já está bem desgastado, quase sendo inutilizado.",Negativo
"Bem útil ,muito obrigada! Continuem assim,estou satisfeita.",Neutro
"Relógio muito bonito, foi entregue dentro do prazo.  A loja está de parabéns, eu recomendo.",Positivo
"Produto bem feito, bom acabamento é pequeno mais eu já sabia pelas medidas, atendeu as expectativas, fácil pra brincar um pouco frágil mais tbm foi dito no anuncio então nada de surpresas negativas, chegou um pouco tarde mais foi devido as festas de final de ano. mais enfim o produto atende as expectativas adoramos.",Neutro
"Entrega rápida, produto de ótima qualidade Eu recomendo",Positivo
"Gostei muito da Sapateira, a foto faz jus ao produto, porém as madeiras são bem finas, o custo beneficio é otimo",Neutro
Eu comprei dia 20/02/2018 e até a data de hoje 07/03/2018   Não foi entregue.,Negativo
"celular bom mas, deixa muito a desejar, som muito baixo tanto em video, audio e ate mesmo em ligações",Negativo
"Muito preocupada, o produto nem chegou na minha casa e vocês querem saber o que eu achei?  O que devo pensar?",Negativo
"Eu comprei esse relógio MK8557 das Américas.com confiando na credibilidade e na originalidade do produto, e ao receber o produto , o mesmo chegou sem a nota fiscal e sem a caixa original , o que me faz desconfiar da originalidade do relógio . Ou deve ser fruto de contrabando , ou é falso ou réplica ... Queri um retorno das Americanas por uma explicação , pois é impossível conseguir contato no atendimento ao cliente .  Extremamente decepcionado com esse site!",Negativo
"Infelizmente não gostei do produto. Ficou aquém da minha expectativa. NÃO RECOMENDO., sugiro que compre outra marca.  Quanto à entrega, a empresa deixou a desejar, não chegou dentro da data prevista. Eles usaram a entrega pelos correios pelo sistema PAC, que é o pior que existe.",Negativo
"Produto bom, entrega no prazo..................................................",Neutro
"Achei bom, no geral, mas o colchão q vem poderia ser melhor",Neutro
"Adorei o produto, ficou excelente!! Gostei muito do acabamento e cromo do corpo.",Positivo
Produto muito bom  E a entrega super rápida antes do prazo,Neutro
o produto é de qualidade e a entrega foi dentro do prazo. Só acho que demora muito tempo para aparecer a imagem,Neutro
"O produto veio com a parte do plástico em baixo quebrada, o painel de números não aparece os números direito.",Negativo
"Estou indo agora no banco, vou penhorar o carro e a casa e vou comprar umas vinte unidades, só está este preço agora imagine daqui a um ano, um baita investimento",Positivo
Muito pratico...Super recomendo Chegou antes do prazo.,Positivo
Bom livro. texto de fácil entendimento.Mas se fosse colorido seria melhor.,Neutro
"Silencioso, funciona dentro de suas características técnicas para o padrão do modelo. Preço razoável. Chegou dentro do prazo estipulado, na verdade, antes do prazo.",Positivo
"Prático, mas um pouco barulhento, inclusive as rodinhas , na hora de usar.  Aspirador bem!",Positivo
"Pelo fao de ser um material de tecido, eu não recomendo. Comprei e me arrependi. É um produto que suporta somente até 15 kg e eu nao me atentei a isso, e o espaço que fica entre a mesa e a cadeirinha fica um vão de modo que a comida cai muito ali, pois o bebe se movimenta muito e cai comida também na cadeira e para uma limpeza adequada o correto é tirar o tecido da estrutura da cadeira o que é um saco. Eu me arrependi por conta da dificuldade de manutenção. Não gostei e não recomendo.",Negativo
Ok chegou dentro do esperado recomendo. Produto não vale o preço,Neutro
"O produto atende,  porém uma coisa e importante dizer,  o velcro na tela é costurado,  porém a parte que vai na parede e presa com dupla face e  fica descolando da outra face do velcro. Depois de dias tendo que ficar recolocando a tela tive que colar com superbonder todas as faces dos velcro que vão na parede",Neutro
Recomendo. Funciona bem e não é lento. Para meu uso doméstico está atendendo muito bem. Excelente computador.,Neutro
"Vale pelo custo benefício, atende bem as minhas necessidades, acabamento ruim , porém pelo preço nao poderia esperar coisa melhor.  Produto razoável...",Negativo
"Não recebi o produto, recebi dois prazo de entrega e nem um deles foi cumprido...",Negativo
"Tapete bom... porém veio muito amassado, estou me matando pra deixar ele restinho no chão, mais tirando isso muito bom o tapete",Neutro
"A chapinha é ótima, como já esperado! Esquenta super rápido, é leve e deixa o cabelo com aspecto brilhoso. Recebi o produto em 6 dias após minha compra, foi antes da data prevista. Super recomendo a Americanas para compras e obviamente a chapinha por ser um produto de ótima qualidade e custo-benefício.",Positivo
"A entrega foi rápida, porém o aparelho é muito lento, esquenta muito mesmo fora do carregador.",Neutro
"Acho um produto bom. Me ajuda na agilização da limpeza. Tive problema de folga na adaptação destes refis porque não se encaixaram como deveria e com um pequeno ajuste com papelão fixei e trabalho normalmente com o produto. Não posso defini-lo como ótimo ou excelente, pois o utilizo à pouco tempo e tive esse problema de folga. Tem tudo para melhorar na avaliação.",Neutro
"Produto excelente, ótima qualidade além de receber antes do prazo estipulado pela loja.",Positivo
"Se a marca decidiu colocar suas etiquetas em produtos produzidos na China, acho que deveria avisar aos clientes. Me sinto prejudicada, pois a compra na internet já tem um tempo de esperar maior do que ir a uma loja e agora terei que esperar para ter meu dinheiro de volta em função da devolução.",Negativo
"Paguei e não me entregaram o produto.  Não obtive respostas, não me devolveram o dinheiro.  Péssimo.",Negativo
Não tem como avaliar porque ja tem mais de mês que comprei este celular.. E até hoje não chegou. Acho que Americanas deveria ter mais consideração pelos seus clientes.. e entregarem o produto no prazo que determinam. E o bom que to tentando entrar em contato e  simplesmente não me dão posição de nada..Sacanagem o que vcs estão fazendo.,Negativo
Produto em bom estado. Recomendo a todos que estão com dúvidas. Vendedores bastante prestativos.  Chegou antes da data prevista. Parabéns a lojas pelo bom atendimento. Obrigado.,Neutro
Nunca nem reçebi o produto pessima compra nao tive nem uma explicaçao das americanas,Negativo
"Produto de muito boa qualidade, espessura e ótimo acabamento! Serviu muito para o dormitório dos meus filhos!",Positivo
custo beneficio e produto bom para treino e ter em casa,Positivo
Simples de usar. Leitura precisa. Ótimo custo beneficio.,Positivo
Livro faz muitos rodeios e muito bla bla bla para chegar ao fato final . O autor deveria ser mais objetivo,Negativo
"Não gostei, pois não veio com a fonte, apesar de estar descrito todo o conteúdo da embalagem, porém ao ver diversos unboxing na internet desse produtos, todos contam com a fonte original da nintendo, fato esse que me deixou desapontado com o produto.",Negativo
"Superou minhas espectativas, recomendo a todos, estou muito satisfeito.",Positivo
O botão de rotatividade é péssimo. Nao funciona direito,Negativo
"Não tenho como avaliar o produto, pois será presente. Mas quanto a entrega foi rápida e em perfeitas condições.",Neutro
"A máquina é boa, atende minha necessidade, mas barulhenta principalmente na centrifugação. Achei que fosse bem silenciosa, mas não.",Neutro
"Engraçado solicitei a devolução pois veio de cor rosa, sendo que não da opção de escolher cor no ato da compra e estou sendo ignorada, pelas lojas Americanas. Pior é que sempre indico a loja, decepcionada.",Neutro
ACABEI DE COMPRAR A CAMA GOSTARIA DE SABER O TAMANHO IDEAL DO COLCHÃO?,Neutro
"O produto foi entregue no prazo. O produto foi aplicado hoje, então não posso avaliar sobre os efeitos e sua eficiência.",Neutro
"O S8 é incrível, aparelho entrega tudo que promete!!",Positivo
comprei para plugar um pen ou adaptador de wifi 5ghz e nao funcionou para os 2 perda de tempo e dinheiro,Negativo
"FALTA DE CONSIDERAÇÃO COM OS CLIENTES, A LOJA TOCTECH, NUNCA TEM O PRODUTO, A PRIMEIRA VEZ DISSERAM QUE O PRODUTO TINHA SIDO FURTADO E NÃO TINHAM NO ESTOQUE, AGORA A DESCULPA É QUE NÃO TEM NO ESTOQUE, NÃO INDICO MAIOR DOR DE CABEÇA",Negativo
"Funciona perfeitamente e é bem resistente, gostei, recomendo a todos",Positivo
Não gostei produto veio com vários defeito desde couro até salto insatisfeita,Negativo
"Pessoal,não comprem!!!! Comprei esse produto da foto e descrição, e me foi entregue outro produto. Me mandaram um produto inferior e de cor completamente diferente da que eu comprei!!!! Estou tento problemas para devolução do produto e estorno da compra.",Negativo
"pessimo o produto veio com defeito  na porta, amassada e saiu a tinta, da pra ver de longe... nao recomendo",Negativo
"Comprei o produto no dia 26/02/18.  Nâo recebí no prazo marcado.  Após mais de 15 dias de atrazo,  o produto chegou em minha residência, não recebi  e fiz a devolução.    Hoje é 28/03/18.",Negativo
"Só recomendo para quem tem facilidade de ajustar  esse tipo de equipamento. É meio difícil de ajustar, e cada vez que você quer fazer uma modificação no módulo porque vai do sofá para a cama por exemplo dá um pouco de trabalho ajustar. É um bom produto, mas achei que seria mais fácil e rápido para ajustar.",Neutro
"estou decepcionado com as lojas americanas. no anuncio está descrito que viria com viseira, comprei o capacete com a intensão de utiliza-lo assim que chegasse. Como no anuncio descrevia com uma viseira, (COISA QUE NAO VEIO), NAO VAI SER POSSIVEL UTILIZAR O PRODUTO POIS O MESMO É PROIBIDO DE SER UTILIZADO EM VIAS URBANAS POR NAO TER VISEIRA. Comprei esperando o produto descrito no anuncio, porem veio totalmente diferente do que eu esperava, material de péssima qualidade e faltando partes. NÃO COMPREM.",Negativo
Estou muito satisfeita. O produto é bem como descrito. Mesmo morando no interior chegou rápido. Recomendo!!!!,Positivo
"Algumas peças vieram com uns pequenos arranhões, apesar de ter vindo embalados.",Neutro
O monitor cardíaco funciona intermitentemente. Devolvi o produto.,Negativo
"Corresponde à descrição! Boa durabilidade da bateria! Veio na caixa, lacrado, em perfeitas condições",Positivo
"O aparelho é bom, com qualidade correspondente ao preço. É uma boa escolha.",Neutro
"produto aparentemente de qualidade vamos ver a durabilidade,recomendo",Neutro
"Produto muito quente não dá para usar no calor, teria que ser especificado no produto, não recomendo a compra.",Negativo
"produto otimo para tv que nao tem netflix, a unica coisa ruim é que nem todos os celulares tem a função screen mirroring",Neutro
"Gostei muito, só veio com a capa um pouco arranhada, mas fora isso tava tudo direitinho.",Neutro
Recomendo um bom produto eu recomendo pode comprar sem medo.,Positivo
Eu recomendo pode comprar que é bom eles entrega no prazo,Neutro
Prós: vários aplicativos pré-instalados; pode controlar pelo celular; pode reproduzir tela no notebook na tv etc Contras: Espaço interno pequeno para aplicativos; Youtube trava constantemente na inicialização do aplicativo (não sei se é só com a minha); exige algum conhecimento para ajustar a imagem (tem alguma coisa a ver com a frequencia Hz),Neutro
recebi o produto quero meu dinheiro de volta. por gentileza entre em contato cmg pata regularizarmos isso o mais urgente possível,Negativo
"Comprei os cartuchos mesmo acreditando que não seriam compatíveis, pois, já havia ocorrido esse problema em outra compra de outro site. Para minha surpresa, estão sendo utilizados sem nenhum problema.",Neutro
"Com menos de 3 semanas de uso apresentou defeito, tentei entrar em contato no tel informado e não consigo falar. Acabei de mandar um e mail pra ver qual o procedimento pra mandar para a análise técnica. Aguardemos.",Negativo
"ESTAVA PENSANDO COMPRA UM MAIS COM TANTAS REFERENCIA NEGATIVAS NAO VOU MI ARRISCAR,",Negativo
Fiz a compra e ainda não recebi. Mas já na emissão da nota fiscal no que se trata de enganação (propaganda enganosa). O título do anúncio e as fotos deixam bem claro que se tratam de duas unidades de 2kg de Whey. Mas no corpo do anúncio e na nota fiscal são duas unidades de 900g.,Negativo
"Qual o tamanho do fogão?  Sendo um fogão de embutir, o cliente precisa saber as medidas. Tudo certo para dar errado os detalhes colocados no site.",Negativo
O problema q comprei errado pensei que a impressora scaneia é não só imprimir quero trocar por outra de outro modelo,Neutro
"A bateria e as câmeras não são nada como esperamos. Descarrega muito rápido, até mesmo sem ser utilizado. Tive que fazer pedido de devolução.",Negativo
"Produto chegou na mesma semana em que comprei pelo site, muito bom, atendeu a necessidade do meu pai que é maior de 60 anos e tem dificuldade para mexer em aparelhos mas por necessidade precisa tê-lo perto.",Neutro
Pelo que vi o celular é muito bom. Só que Comprei o celular dia 26/04 E  até hoje não chegou.,Neutro
COM FRETE GRÁTIS FICA BEM MAIS FÁCIL DE NEGOCIAR SÓ FALTOU AUMENTAR O NÚMERO DE PARCELAS SEM JUROS EM OUTROS CARTÕES JÁ QUE FUI OBRIGADO A CANCELAR  MEU CARTÃO POR CAUSA DA ANUIDADE,Neutro
"Chegou antes do prazo de entrega,tudo certinho e bem embalado.",Positivo
"gostei, chegou dentro do prazo, ainda não deu tempo para o produto fazer efeito, mais recomendo.",Neutro
"Estava com muita expectativa nesse produto, mas pra peles bem claras, a cor não bate. Ele sai claro do pote, mas depois oxida um pouco. Também não tem nenhuma resistência ao suor ou à água.",Negativo
A LG nunca me decepcionou! Essa televisão é excepcional. Super rápida. Não precisa de carregamento nem espera para iniciar os aplicativos. Netflix entra em questão de menos de 2 segundos.,Positivo
"Material horrível, pensei que era uma coisa e veio outra.",Negativo
Um produto dinâmico e que revoluciona o ato de passar a roupa...,Positivo
Travesseiro de ótima qualidade... Recomendo o produto! Minhas noite de sono ficou mais agradável com esse travesseiro.... Custo benefício excelente,Positivo
"Super indico, produto de Boa qualidade, entrega rápida",Neutro
"A principio gostei muito embora tenha sido desnecessario, a tv comprei junto tem entrada VGA, foi desnecessario. Pode vir a ser usado futuramente, Por favor forneçam dados mais completos, evitando duvidas, agradecido.",Positivo
"Baixa resolução, suporte por mais deixa vez ineficaz.",Negativo
"O parafuso que mantém a altura do ventilador que é ajustável, pode ser forçado e atravessar.",Neutro
Produto de boa qualidade houve um pouco de atraso por conta da transportadora mais veio no dia seguinte feito a reclamação é loja física e segurança dos seus dados portanto veio tudo direito recomendo aos compradores esse site,Neutro
"Muito triste,pois as fotos são belíssimas,mais a qualidade do acabamento e péssima. Falta peças para montagem, tamanhos diferentes nas peças. Esperava mais. E pior no meu caso comprei 8 cadeiras só vieram 6 o pés das outras duas não vieram somente o acento e o encosto. E muito bonita e elegante pena que veio com estes problemas de fabrica.",Negativo
Não compro mais.  Pois não parece ser um perfume e sim uma colônia,Negativo
O botão de liga e desliga veio com defeito e devolvemos o produto.,Negativo
Bom produto. Ajuda nos casos de refluxo noturno. O material é de muito boa qualidade.,Neutro
"não comprem este produto com essa loja magazine. comprei a  Lanterna Cabeça Triplo T6 Led Cree Profissional Swat Tática com essa loja play magazine, uma das parcerias com  a Americanas.com. porem, recebi uma lanterna bailong bl -913,muito fraca , pior do que as que vendem no camelô. é uma propaganda inganosa. não comprem.",Negativo
"Esta me surpreendendo , chegou ontem usei 3 vezes já , fiz batatas e tulipinhas de frango , nada de comida pálida , alimentos super coradinhos ..",Neutro
Podem comprar que está super em conta! Junto com o boneco vem as ações das empresas Stark!,Positivo
Produto não possui boa qualidade. Pelo funcionamento não parece um produto original.,Negativo
"Ola até hoje não recebi o projetor como que vou avaliar uma coisa que não recebi ainda o produto,mas já paguei a primeira prestação .vou até cancelar esta COMPRA....",Negativo
"O acabamento do encosto e do assento é bom ; pés e  suporte cromados bons tb. Mas o suporte dos braços é de plástico, vamos ver qto tempo dura. Em questão de conforto, nota mil. A coluna se encaixa mto bem, não fica aquele ""vazio"" na parte da lombar. E nem sonhe em tentar montá-la sozinho; conseguir  encaixar os parafusos do encosto deixa qualquer combate do UFC pra trás. No geral, bom produto, recomendo.",Neutro
"O material é fraco., mas, está bonito.Dá para  usar por pouco tempo.",Negativo
"Não respondeu a espectativas. Não funciona, só os canais locais, que tem a emissora na cidade.",Negativo
"Muito boa, atendeu as minhas expectativas. Recomendo o vendedor aos profissionais que atuam de alguma forma na área financeira.",Positivo
"Boa tarde, gostei do produto, mas ele marca a roupa por causa do formato e também a “cola”, não fixa direito.",Neutro
Qualidade o produto. Recomendaria sempre que necessário.,Positivo
"O produto na loja online do ""parceiro"" mesmo com frete sedex sai cerca de 30% mais barato, comprei aqui pela americanas e me arrependi porque me foi enviado via PAC quase 20 dias(pelo produto melhor comprar na china) pra chegar e saiu mais caro",Negativo
"produto péssimo, qualidade horrível, não suporta nem o próprio peso, imagina colocar um notebook, não comprem. nem deveriam anunciar a venda desse material",Negativo
O produto é bonito e se acomoda bem no ambiente. recomendo o produto.,Positivo
"Na imagem o produto é mais bonito, pessoalmente o desenho está borrado",Neutro
"Chegou muito rápido e rápido parou de funcionar, mais especificamente só 1hora de funcionamento!!! O atendimento para troca foi rápido, no entanto, a troca de fato até hj não aconteceu.",Negativo
"Excelente produto . Muito boa qualidade, bonita e deixa um brilho nos cabelos e não receca",Positivo
Não gela bem a água não tem regulagem de temperatura,Negativo
"O produto que recebi veio bem diferente das especificações do anúncio da venda.  Primeiro, veio na cor azul claro e algumas partes brancas, não todo branco como o descrito e na foto, não tem botão touch para ligar e sim um fio com interruptor com USB para por na tomada usando um adaptador ou em qualquer outro local USB e também não consegui ajustar a intensidade da iluminação como descrito. Outro aspecto é que ele não funciona fora da tomada, ficou a noite inteira carregando mas mesmo assim não liga se não estiver na energia. Fora todas essas coisas que estavam bem em desacordo com o anunciado o produto ilumina bem. Não recomendo o produto, pois o custo benefício não compensa e comprei achando que iria receber um produto igual foi descrito e não foi isso que aconteceu.",Negativo
"achei um pouco pesado, achei que seria mais leve e menor",Neutro
"Um lixo o profuto! Não funciona, só trava! Produto não pega direito e agora apagou de vez... um lixo",Negativo
"No quarto uso a cafeteira simplesmente parou de funcionar, a água não passa mais para o filtro, estou em contato com a assistência técnica. Outro ponto negativo é que só dá para fazer uma xícara por vez, pois se colocar a medida para duas xícaras, o conteúdo do coador transborda e além de sujar a parte toda a parte interna, vc ainda toma café com pó, quase aprendi a fazer leitura da borra de café na xícara...rsrs",Negativo
Esquenta bastante e da brilho e maciez ao cabelo. Cumpre o que promete.,Neutro
A leitura é uma ótima opção para quem gosta de romance mediúnico!,Positivo
"Recomendo! Botão água com temperatura ambiente, fresca, fria e gelada. E tem diferença! Gostei!",Positivo
Esperava um produto em paletas de madeira e não em TNT!!!!,Negativo
comprei 4 destes e com menos de 30 dias rodando soltou uma parte da banda de rodagem de um dos pneus na rodovia e fui verificar os outros 3 estavam trincados na base das bandas.,Negativo
Foi presente mas quem ganhou adorou e até agora não fez nenhuma reclamação.,Neutro
"Quantos ml tem o elixir? Na foto tem 250, no entanto no titulo tem 50 ml. Qual o correto?",Neutro
"Você não está comprando um sofá. Está comprando um problema. O prazo de entrega é grande, mas não é cumprido. E as Lojas Americanas não estão preocupadas com isto.",Negativo
Nem usando o Driver Booster os drivers funcionam corretamente no Windows 7 64 bits,Negativo
"NÃO ACHEI PÉSSIMO,POR TER PAGO UM PRODUTO E NÃO RECEBER......",Negativo
GOSTARIA DE SABER AS MEDIDAS POIS NAO CONSTA NO ANUNCIO,Neutro
Não me arrependo do investimento. Meu bebê ama ficar nela e se diverte com os brinquedos pendurados.,Positivo
A compra foi boa e a entrega obedeceu ao prazo combinado.,Positivo
"ÓTIMO APARELHO, ÓTIMO ATENDIMENTO E ENTREGA, TUDO OK ATÉ O MOMENTO.",Positivo
Imagem incrível. Muitas cores muito bem definidas. Recomendo mto o produto,Positivo
"Persiana boa qualidade, entrega em bom tempo, vendedores atenciosos",Neutro
"Gostei muito do celular. Chegou antes do prazo, o celular atende as minhas necessidade, o recomendaria com certeza.",Positivo
Fone de péssima qualidade. Não recomendo. No segundo dia de uso aquela porcaria que prende na orelha desmontou e não é possível reencaixar! Nunca comprem isso!,Negativo
"Ótimo produto, muito potente, superou minhas expectativa.",Positivo
"fácil e pratico de usar, otimo preço e entrega da americanas !",Positivo
"PRODUTO MUITO BOM ,DENTRO DA EXPECTATIVA RECOMENDO",Neutro
"Produto realmente igual ao ofertado, excelente preço e qualidade",Positivo
"A cômoda não parede boa qualidade, é bonita, mas parece frágil.  Sua montagem é um pouco complicada, se você não tem nenhum conhecimento, vale muito a pena pagar algum montador.  Falam que é dupla face, mas é mentira.  Não recomendo, prevejo que irei me desfazer desse produto em menos de 2 anos.  Espero estar enganada.",Neutro
"Comprei para minha filha que vai morar sozinha. Pra ela está ótimo devido ao preço, mas não é de primeira linha.",Neutro
"Gostei do produto. porém ainda não avaliei por completo, uso apenas para ligar e receber.",Neutro
"Tive a infelicidade da entrega ter atrasado em mais de uma semana, mas o aparelho atende as expectativas. Um aparelho bonito, rápido, faz fotos de qualidade e tem boa autonomia de bateria. Recomendo o produto.",Neutro
Sempre comprei estas cuecas p meu marido. A qualidade caiu . Acho que foi para chegar no preço mais barato. O elastico é frouxo. Pena que esta marca esteja se preocupando com preço e caindo a qualidade. Perdeu uma cliente. Nao recomendo que comprem .,Negativo
"O produto é bonito, porém chegou com defeito (espelho e vidro quebrado), faz quase um mês e até agora ninguém resolveu o problema. Enviei pedido de ajuda através do site, mas já passou muito do prazo de 48h para o vendedor entrar em contato e nada ainda.",Negativo
"Produto muito bonito,ótimo custo,chamas fortes,forno muito bom !!!",Neutro
Iniciei o tratamento porem foi interrompido devido a demora para recerber o produto,Neutro
"Muito mais bonito ao vivo do que no site, sem falar da entrega que foi muito rápido. Simplesmente lindo, EU RECOMENDO ESSE PRODUTO.",Positivo
"É uma planetária simples e pequena. Mas atende bem às necessidades diárias. Não tem a mesma performance das mais caras e maiores, mas é muito melhor que uma batedeira comum. Vale a pena.",Neutro
Não comprem pessoal comprei a minha aqui e não presta  Não chega no prazo o prazo era de 12 dias chegou com 28 dias  Tive que ir lá nas Americanas reclamar  Não tem uma qualidade boa quer dizer é muito ruim  Querem um conselho não comprem essa câmera ela no presta,Negativo
"Chegou antes do prazo, produto muito bom e ainda mandou um brinde!!!",Positivo
"Escelente produto .O copo do tamanho ideal, não muito grande ,nem muito pequeno,o botão para prender e soltar o copo é super pratico, e a entrega foi rápida também.Super recomendo.",Positivo
"Gostei bastante do produto, recebi antes do prazo máximo.  Produto de boa qualidade. Me surpreendeu!",Positivo
Como compro um produto em que o frete sai 4x mais caro q o mesmo?,Negativo
Eu na verdade gostaria de saber de vcs que compraram ou do vendedor se a bateria é Sansung. Obrigada!,Neutro
"Adorei a maquina, ela é fácil e muito prática para manuseio. Tô adorando costurar novamente.",Positivo
O produto da imagem possui o bluetooth no F3 e o teclado que chegou possui o WIFI no F3,Neutro
Comprei para minha filha ela tinha um que estragou após vários anos de uso. Comprei novamente por ser um excelente produto.,Positivo
"Gostei, mas comprei achando que esse perfume se parecesse com o lá vie est belle, não achei nada similar",Neutro
Atendeu minhas expectativas!!!!  Eu recomendaria o produto com toda certeza!!!!,Positivo
Varinha muito bem acabada e resistente! A caixinha do Harry Potter que acompanha torna a ambientalização bem legal!,Positivo
"Acho q vcs tem q vender, mas ter o produto disponível para entregar. Pois até o momento não tive o prazer de receber o meu. Não pretendo mais comprar de vcs.",Negativo
"Como o aparelho é para uma pessoa iniciante com os smartphones, atende, mas é um aparelho muito limitado. Um dos principais problemas é não ter sensor de proximidade.",Neutro
